name,group,typology,Lx,Ly,Lz,zc,m,V,rho,Axy,source
Bin,F1,urban furniture,0.35,0.22,0.68,0.00,2,0.05,43.9,0.08,https://www.topalmacen.com/producto/Cubo_de_Basura_de_Pl%C3%A1stico_Verde_60_litros_/
Bin,F1,urban furniture,0.50,0.48,0.99,0.00,4,0.24,17.3,0.24,https://www.topalmacen.com/producto/Papelera_Pl%C3%A1stica_Maigmo_80_Litros_/
Dumpster (large),F1,urban furniture,1.37,0.82,1.31,0.17,50,1.46,34.3,1.12,https://www.topalmacen.com/producto/contenedor-de-residuos-carga-trasera-770-litros.html?gclid=CjwKCAjw4ayUBhA4EiwATWyBrhIaKW8bMCjNUN_eceExvYZHAVKgflrcL4cNhe0Ic6JeP1E3hyzVhhoCtJQQAvD_BwE
Dumpster (small),F1,urban furniture,0.87,0.62,1.10,0.00,17,0.59,28.4,0.54,https://www.topalmacen.com/producto/Contenedor_Residuos_en_PEHD_2_Ruedas_360_litros_/ 
Dumpster (small),F1,urban furniture,0.75,0.57,1.09,0.00,13,0.47,28.5,0.43,https://www.topalmacen.com/producto/Contenedor_de_Residuos_240_litros_en_PEHD_2_Ruedas_/
Rubble container (rectangular),F1,urban furniture,4.50,1.90,0.75,0.00,1350,6.41,210.5,8.55,https://www.werner-weber.com/en/rubble-containers-bsc/
Rubble container (rectangular),F1,urban furniture,5.00,1.90,0.75,0.00,1450,7.13,203.5,9.50,https://www.werner-weber.com/en/rubble-containers-bsc/
Rubble container (rectangular),F1,urban furniture,5.50,1.90,0.75,0.00,1550,7.84,197.8,10.45,https://www.werner-weber.com/en/rubble-containers-bsc/
Rubble container (trapezoidal),F1,urban furniture,3.40,1.80,1.00,0.00,575,6.12,94.0,6.12,http://www.vercasa.net/
Transport container 15’,F1,urban furniture,4.55,2.20,2.26,0.00,915,22.62,40.4,10.01,https://www.profishop.es/contenedor-de-almacenamiento-containex-15-lc15-0000000006
Transport container 20’,F1,urban furniture,6.06,2.44,2.59,0.00,1270,38.30,33.2,14.79,https://www.profishop.es/contenedor-de-almacenamiento-containex-20-lc20-0000000012?number=CO4-17&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1LhHs5WwRghNFAW5FpmAelu7qVlzDJMJvAGKpJOXSpce6UQKYBXyxoCHB4QAvD_BwE
Transport container 6’,F1,urban furniture,1.98,1.97,1.91,0.00,450,7.45,60.4,3.90,https://www.profishop.es/contenedor-de-almacenamiento-containex-de-6-lc06-0000000007
Transport container 9’,F1,urban furniture,2.93,2.20,2.26,0.00,690,14.57,47.4,6.45,https://www.profishop.es/contenedor-de-almacenamiento-containex-9-lc09-0000000006
Urban bin,F1,urban furniture,0.60,0.42,0.90,0.00,30,0.23,132.3,0.25,https://www.archiproducts.com/en/products/vestre/outdoor-galvanized-steel-litter-bin-with-lid-urban-litter-bin_296832
Electric water heater,F2,household equipment,0.43,0.45,1.01,0.02,23,0.20,116.3,0.20,https://assets.leroymerlin.es/is/content/lmes/82005340-0170q-es/eq1-termo-electrico-100l.pdf
Electric water heater,F2,household equipment,0.45,0.43,0.85,0.00,20,0.17,117.3,0.20,https://www.leroymerlin.es/fp/82005338/termo-electrico-equation-eq1-80l?keyword=&ds_kid=92700068915560564&ds_ag=Todas+Categorias&ds_c=LM_Empoderar_AO_SmartShopping_Todas_Categoria/final_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsbz3PgDl3ORU9DMgHqmaf9lTmdc6PO7WNwmtebWWxIGR6-pwMj698kBoCd4AQAvD_BwE&gclsrc=aw.ds
Electric water heater,F2,household equipment,0.60,0.43,0.45,0.00,14,0.12,118.7,0.26,https://www.leroymerlin.es/fp/82005336/termo-electrico-equation-eq1-50l#fichaTecnica
Electric water heater,F2,household equipment,0.78,0.44,0.46,0.00,24,0.16,152.7,0.34,https://www.leroymerlin.es/fp/81867675/termo-electrico-cointra-tnd-plus-80l
Metal garden shed,F2,household equipment,2.01,1.21,1.90,0.00,37,4.62,8.0,2.43,https://www.amazon.es/wasabi-Lightgreen-Caseta-met%C3%A1lica-Almacenamiento/dp/B07R3ZZBPQ/ref=asc_df_B07R3ZZBPQ/?tag=googshopes-21&linkCode=df0&hvadid=348220466071&hvpos=&hvnetw=g&hvrand=11335774766997278381&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1005545&hvtargid=pla-744095006099&th=1
Metal garden shed,F2,household equipment,2.77,1.91,2.02,0.00,68,10.69,6.4,5.29,https://www.brycus.es/caseta-de-jardin-metalica-gardiun-leeds-530-m2-b8f0e/?otcountry=ES&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb2MgBhS0KxmsT822BKdDHuGaWMXtMIQ3ZDcsxQmlEg7ACbtNnWIHMxoCOr0QAvD_BwE
Metal garden shed,F2,household equipment,2.01,1.21,1.90,0.00,44,4.62,9.5,2.43,https://www.leroymerlin.es/fp/81865571/caseta-de-metal-nybro-de-201x190x121-cm-y-2-43-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1WM8PA_F3UT_GDzNQbZtwulPgnjTIBm_bKSrAfIfW3xkCNwNb4WPBoCK18QAvD_BwE&gclsrc=aw.ds#fichaTecnica
Metal garden shed,F2,household equipment,3.40,3.19,2.10,0.00,80,22.78,3.5,10.85,https://www.mi-caseta-de-jardin.es/casetas-de-jardin-de-metal/9966-caseta-de-jardin-antracita-first-1085m-first-antracita-kit-de-anclaje-x-metal-3336363099663.html?gclid=CjwKCAjwp9qZBhBkEiwAsYFsbzO0BTORnzJq22CZpGyifeq5XJCJzIkaNhijRizcTBXeSd78HLA1kBoC4v8QAvD_BwE
Metal garden shed,F2,household equipment,2.39,1.93,2.03,0.00,54,9.36,5.8,4.61,https://www.bauhaus.es/casetas-de-herramientas-metalicas/hoggar-caseta-para-jardin-gansen-ii/p/26603937?cid=SSAGoo16511208432_&pla_campid=16511208432&pla_adgrid=&pla_prpaid=&pla_prid=26603937&pla_adt=pla&pla_prch=online&pla_stco=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb35uN40v0MotwumUGE-ekPRFDb6iNx6LjcF961CsGYuRI5KbfrkkUhoCCT0QAvD_BwE
Plastic garden shed,F2,household equipment,2.27,1.85,2.37,0.00,72,9.95,7.2,4.20,https://www.leroymerlin.es/fp/82836070/caseta-de-resina-manor-6x8-de-185-8x227x237-cm-y-3-9-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb7pg-ffWWrLHMeAVuFV-Sk3vld6Jn72tPoFZdK_GLDh41NIZkd_zMxoCXI8QAvD_BwE&gclsrc=aw.ds
