,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,,Looking back at the November 2000 floods in York - Creating a better place (blog.gov.uk)
11,12,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,,,,,,,,,,,,,,,,,,,,,,,
