,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,https://www.flickr.com/photos/patrick_castelli/21044212206/in/pool-aaarrrggghhh
1,2,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,"Flood, Farkaslaka Romania 23 08 2005 - YouTube"
2,3,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,"Flood, Farkaslaka Romania 23 08 2005 - YouTube"
3,4,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,"Flood, Farkaslaka Romania 23 08 2005 - YouTube"
4,5,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,"Flood, Farkaslaka Romania 23 08 2005 - YouTube"
5,6,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,"Flood, Farkaslaka Romania 23 08 2005 - YouTube"
6,7,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,https://open-to-knowledge.blogspot.com/2020/07/the-mumbai-floods-of-2005.html
7,8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,http://photos1.blogger.com/blogger/7539/919/1600/Mumbai35.jpg
8,9,,,,,,,,,,,,,,,,,,,,,1.0,,,,,https://www.ndtv.com/photos/news/26july-2005-the-day-mumbai-stopped-11000#photo-138096
9,10,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,https://www.business-standard.com/article/current-affairs/flashback-of-26-july-2005-13-years-of-mumbai-floods-118072600288_1.html
