,Picture no.,Medium and small cars,Big cars,Vans,Trucks,Caravans,Motorbikes,Bikes,E-scooters,Bins,Dumpsters,Fluid tanks,Garden sheds,Organic material,Big rigid plastics,Medium size rigid plastics,Big plastic deformable/films,Medium and small plastic deformable/films,Other (plastic) litter,Clothing and textile,Metal structures,Natural wood,Construction wood,Big building construction debris,Medium and small building construction debris,Unnamed: 25,(link)
0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,1,,https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/
1,2,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1,,"https://en.wikipedia.org/wiki/2013_Alberta_floods#/media/File:Okotoks_-_June_23,_2013_-_Local_campground_picnic_area_after_flood.JPG"
2,3,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1,,https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/
3,4,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1,,https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/
4,5,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1,,https://schovanekphotography.com/lens_portfolio/alberta-flood-2013/
5,6,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1,,https://www.huffpost.com/entry/colorado-flood-totals-numbers-2013_n_3935239
6,7,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1,,http://www.insurancejournal.com/news/west/2014/06/02/330798.htm
7,8,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1,,https://www.ibtimes.com/colorado-floods-heavy-rain-flash-flooding-claims-least-4-lives-leaves-500-people-unaccounted-photos
8,9,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1,,http://noconow.co/1rT7x4g
9,10,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1,,http://lrrd.blogspot.com/2013/10/pondering-colorado-floods-on-way-to-gsa.html
